data_notificacao,num_casos,MM_casos
2020-03-01,1,
2020-03-10,1,
2020-03-11,1,
2020-03-13,1,
2020-03-14,1,
2020-03-15,2,
2020-03-16,4,1.6
2020-03-17,2,1.7
2020-03-19,4,2.1
2020-03-20,8,3.1
2020-03-21,2,3.3
2020-03-22,2,3.4
2020-03-23,8,4.3
2020-03-24,2,4.0
2020-03-25,12,5.4
2020-03-26,9,6.1
2020-03-27,3,5.4
2020-03-28,2,5.4
2020-03-30,6,6.0
2020-03-31,9,6.1
2020-04-01,16,8.1
2020-04-02,5,7.1
2020-04-03,13,7.7
2020-04-04,12,9.0
2020-04-05,9,10.0
2020-04-06,18,11.7
2020-04-07,5,11.1
2020-04-08,17,11.3
2020-04-09,6,11.4
2020-04-10,6,10.4
2020-04-11,10,10.1
2020-04-12,2,9.1
2020-04-13,14,8.6
2020-04-14,16,10.1
2020-04-15,19,10.4
2020-04-16,22,12.7
2020-04-17,21,14.9
2020-04-18,6,14.3
2020-04-19,1,14.1
2020-04-20,15,14.3
2020-04-21,7,13.0
2020-04-22,11,11.9
2020-04-23,25,12.3
2020-04-24,30,13.6
2020-04-25,40,18.4
2020-04-26,22,21.4
2020-04-27,38,24.7
2020-04-28,30,28.0
2020-04-29,22,29.6
2020-04-30,34,30.9
2020-05-01,11,28.1
2020-05-02,39,28.0
2020-05-03,8,26.0
2020-05-04,38,26.0
2020-05-05,45,28.1
2020-05-06,34,29.9
2020-05-07,39,30.6
2020-05-08,37,34.3
2020-05-09,20,31.6
2020-05-10,21,33.4
2020-05-11,37,33.3
2020-05-12,43,33.0
2020-05-13,81,39.7
2020-05-14,61,42.9
2020-05-15,73,48.0
2020-05-16,27,49.0
2020-05-17,50,53.1
2020-05-18,80,59.3
2020-05-19,78,64.3
2020-05-20,63,61.7
2020-05-21,79,64.3
2020-05-22,93,67.1
2020-05-23,60,71.9
2020-05-24,24,68.1
2020-05-25,80,68.1
2020-05-26,53,64.6
2020-05-27,127,73.7
2020-05-28,113,78.6
2020-05-29,138,85.0
2020-05-30,67,86.0
2020-05-31,65,91.9
2020-06-01,149,101.7
2020-06-02,200,122.7
2020-06-03,170,128.9
