data_notificacao,num_casos,MM_casos,acumulado
2020-10-01,459,374.1,57942
2020-10-02,453,376.7,58395
2020-10-03,150,352.7,58545
2020-10-04,89,357.0,58634
2020-10-05,302,325.4,58936
2020-10-06,230,299.7,59166
2020-10-07,184,266.7,59350
2020-10-08,305,244.7,59655
2020-10-09,94,193.4,59749
2020-10-10,22,175.1,59771
2020-10-11,11,164.0,59782
2020-10-12,10,122.3,59792
2020-10-13,23,92.7,59815
2020-10-14,11,68.0,59826
2020-10-15,16,26.7,59842
2020-10-16,3,13.7,59845
