Date,Zone,Count,CEP,Location,Category
2020-05-02,Setor Bueno ,48,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-04-29,Setor Bueno ,45,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-04-30,Setor Bueno ,48,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-03,Setor Bueno ,52,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-11,Setor Bueno ,73,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-16,Setor Bueno ,89,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-17,Setor Bueno ,89,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-18,Setor Bueno ,92,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-21,Setor Bueno ,106,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-01,Setor Bueno ,48,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-04,Setor Bueno ,53,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-05,Setor Bueno ,55,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-06,Setor Bueno ,55,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-07,Setor Bueno ,59,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-08,Setor Bueno ,61,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-09,Setor Bueno ,61,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-10,Setor Bueno ,61,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-12,Setor Bueno ,73,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-13,Setor Bueno ,77,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-14,Setor Bueno ,81,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-15,Setor Bueno ,89,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-19,Setor Bueno ,92,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-20,Setor Bueno ,99,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-22,Setor Bueno ,106,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-23,Setor Bueno ,116,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-24,Setor Bueno ,118,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-25,Setor Bueno ,118,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-26,Setor Bueno ,119,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-27,Setor Bueno ,118,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-28,Setor Bueno ,119,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-29,Setor Bueno ,131,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-30,Setor Bueno ,131,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-31,Setor Bueno ,141,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-01,Setor Bueno ,145,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-02,Setor Bueno ,145,74223-010,"-16.6956937,-49.2640252",Confirmed
