Conjunto Vera Cruz ,Jardim América ,Jd. Balneário Meia Ponte ,Jd. Curitiba ,Jd. Goiás ,Jd. Guanabara ,Jd. Nova Esperanca ,Jd. Novo Mundo ,Parque Amazônia ,Setor Bueno ,Setor Central ,Setor Leste Universitário ,Setor Marista ,Setor Oeste ,Setor Pedro Ludovico ,Setor Urias Magalhaes ,Vila Itatiaia ,Vila Jardim São Judas Tadeu 
33.0,88.0,31.0,31.0,64.0,142.0,32.0,78.0,64.0,187.0,68.0,43.0,45.0,120.0,65.0,37.0,,
33.0,88.0,31.0,31.0,64.0,142.0,32.0,78.0,64.0,187.0,68.0,43.0,45.0,120.0,65.0,37.0,,
55.0,106.0,48.0,42.0,100.0,204.0,49.0,117.0,96.0,230.0,84.0,78.0,58.0,145.0,82.0,51.0,,
55.0,106.0,48.0,42.0,100.0,204.0,49.0,117.0,96.0,230.0,84.0,78.0,58.0,145.0,82.0,51.0,,
63.0,128.0,54.0,45.0,113.0,230.0,59.0,128.0,112.0,255.0,94.0,91.0,68.0,164.0,91.0,59.0,,
67.0,142.0,57.0,50.0,122.0,243.0,65.0,136.0,118.0,272.0,96.0,95.0,73.0,176.0,105.0,60.0,,
67.0,142.0,57.0,50.0,122.0,243.0,65.0,136.0,118.0,272.0,96.0,95.0,73.0,176.0,105.0,60.0,,
74.0,149.0,59.0,56.0,124.0,257.0,66.0,147.0,126.0,278.0,106.0,103.0,76.0,187.0,106.0,63.0,,
74.0,149.0,59.0,56.0,124.0,257.0,66.0,147.0,126.0,278.0,106.0,103.0,76.0,187.0,106.0,63.0,,
81.0,167.0,66.0,60.0,136.0,270.0,73.0,155.0,130.0,303.0,124.0,115.0,81.0,201.0,113.0,67.0,,
84.0,170.0,69.0,64.0,139.0,272.0,75.0,161.0,135.0,308.0,127.0,117.0,83.0,202.0,119.0,69.0,,
84.0,170.0,69.0,64.0,139.0,272.0,75.0,161.0,135.0,308.0,127.0,117.0,83.0,202.0,119.0,69.0,,
87.0,181.0,72.0,71.0,147.0,279.0,81.0,170.0,142.0,322.0,135.0,124.0,88.0,212.0,125.0,76.0,,
87.0,181.0,72.0,71.0,147.0,279.0,81.0,170.0,142.0,322.0,135.0,124.0,88.0,212.0,125.0,76.0,,
87.0,181.0,72.0,71.0,147.0,279.0,81.0,170.0,142.0,322.0,135.0,124.0,88.0,212.0,125.0,76.0,,
87.0,181.0,72.0,71.0,147.0,279.0,81.0,170.0,142.0,322.0,135.0,124.0,88.0,212.0,125.0,76.0,,
87.0,181.0,72.0,71.0,147.0,279.0,81.0,170.0,142.0,322.0,135.0,124.0,88.0,212.0,125.0,76.0,,
87.0,181.0,72.0,71.0,147.0,279.0,81.0,170.0,142.0,322.0,135.0,124.0,88.0,212.0,125.0,76.0,,
87.0,181.0,72.0,71.0,147.0,279.0,81.0,170.0,142.0,322.0,135.0,124.0,88.0,212.0,125.0,76.0,,
87.0,181.0,72.0,71.0,147.0,279.0,81.0,170.0,142.0,322.0,135.0,124.0,88.0,212.0,125.0,76.0,,
87.0,181.0,72.0,71.0,147.0,279.0,81.0,170.0,142.0,322.0,135.0,124.0,88.0,212.0,125.0,76.0,,
87.0,181.0,72.0,71.0,147.0,279.0,81.0,170.0,142.0,322.0,135.0,124.0,88.0,212.0,125.0,76.0,,
87.0,181.0,72.0,71.0,147.0,279.0,81.0,170.0,142.0,322.0,135.0,124.0,88.0,212.0,125.0,76.0,,
127.0,272.0,97.0,128.0,194.0,294.0,112.0,213.0,193.0,487.0,196.0,153.0,114.0,296.0,175.0,85.0,35.0,
131.0,280.0,99.0,128.0,203.0,296.0,114.0,215.0,202.0,498.0,132.0,158.0,116.0,306.0,175.0,89.0,37.0,
131.0,280.0,99.0,128.0,203.0,296.0,114.0,215.0,202.0,498.0,132.0,158.0,116.0,306.0,175.0,89.0,37.0,
